Name1,Total Time,Total Count,Avg Time,Avg Count,Last Session,Count Details0,Count Details1
ATS11801,2830:22:00,24,175:23:00,1.5,5/8/2014 23:59,,
ATS11802,2635:56:00,20,163:20:00,1.2,5/8/2014 23:59,,
ATS11803,2423:52:00,38,150:12:00,2.4,5/8/2014 23:59,,
ATS11804,2458:37:00,46,152:21:00,2.9,5/8/2014 23:59,,
ATS11805,2448:00:00,39,151:41:00,2.4,5/8/2014 23:59,,
ATS11806,2433:26:00,28,150:47:00,1.7,5/8/2014 23:59,,
ATS11807,2570:26:00,27,159:17:00,1.7,5/8/2014 23:59,,
ATS11808,2581:51:00,37,159:59:00,2.3,5/8/2014 23:59,,
ATS11809,2542:33:00,35,157:33:00,2.2,5/8/2014 23:59,,
ATS11810,2578:28:00,25,159:46:00,1.5,5/8/2014 23:59,,
ATS11811,2980:11:00,24,184:40:00,1.5,5/8/2014 23:59,,
ATS11812,2591:34:00,38,160:35:00,2.4,5/8/2014 23:59,,
ATS11813,2386:42:00,29,147:53:00,1.8,5/8/2014 23:59,,
ATS11814,2641:10:00,18,163:40:00,1.1,5/8/2014 23:59,,
ATS11815,2554:22:00,19,158:17:00,1.2,5/8/2014 23:59,,
ATS11816,2877:20:00,23,178:18:00,1.4,5/8/2014 23:59,,
ATS11817,2684:19:00,18,166:20:00,1.1,5/8/2014 23:59,,
BRH21401,469:43:00,59,29:06:00,3.7,4/29/2014 10:47,,
BRH21402,316:30:00,296,19:37,18.3,5/7/2014 17:07,,
BRH21403,151:12:00,100,9:22,6.2,5/8/2014 19:31,,
BRH21404,783:38:00,131,48:33:00,8.1,5/6/2014 12:59,,
BRH21406,355:39:00,59,22:02,3.7,5/8/2014 16:36,,
BRH21407,508:24:00,69,31:30:00,4.3,5/8/2014 16:13,,
BRH21408,191:10:00,136,11:51,8.4,5/7/2014 15:22,,
BRH21409,394:57:00,59,24:28:00,3.7,5/7/2014 22:26,,
BRH21410,221:30:00,73,13:44,4.5,5/7/2014 15:25,,
BRH21411,262:54:00,89,16:17,5.5,5/5/2014 10:19,,
BRH21412,160:24:00,75,9:56,4.6,5/7/2014 15:14,,
BRH21413,136:22:00,79,8:27,4.9,4/29/2014 10:07,,
BRH21414,420:40:00,53,26:04:00,3.3,4/30/2014 13:15,,
BRH21416,230:00:00,135,14:15,8.4,5/8/2014 21:20,,
BRH21417,97:48:00,72,6:04,4.5,5/8/2014 15:25,,
BRH21418,267:24:00,83,16:34,5.1,4/23/2014 18:31,,
BRH21419,187:23:00,49,11:37,3,5/7/2014 15:08,,
BRH21420,317:18:00,81,19:40,5,5/4/2014 19:16,,
BRH21421,337:59:00,111,20:57,6.9,5/8/2014 11:19,,
BRH21422,613:24:00,109,38:01:00,6.8,5/8/2014 16:41,,
BRH21424,440:52:00,186,27:19:00,11.5,5/7/2014 11:45,,
BRH21425,231:44:00,16,14:22,1,4/19/2014 0:48,,
BRH26401,28:24:00,40,1:46,2.5,5/6/2014 14:49,,
BRH26402,180:44:00,19,11:12,1.2,4/24/2014 14:12,,
BRH26403,146:22:00,20,9:04,1.2,4/24/2014 14:03,,
BRH26404,128:46:00,15,7:59,0.9,4/2/2014 20:30,,
BRH26405,253:35:00,18,15:43,1.1,4/24/2014 14:06,,
BRH26406,23:56,20,1:29,1.2,4/24/2014 13:39,,
BRH26407,17:40,22,1:06,1.4,5/6/2014 14:07,,
BRH26408,64:21:00,34,3:59,2.1,5/1/2014 15:06,,
BRH26409,211:16:00,74,13:05,4.6,5/8/2014 23:59,,
BRH26410,122:15:00,19,7:34,1.2,5/1/2014 15:42,,
BRH26411,76:49:00,18,4:46,1.1,4/25/2014 11:23,,
